2025-12-02 16:10:14 | DEBUG | llm_batch_analyzer:96 | 日志系统初始化完成 | name=llm_batch_analyzer | 控制台级别=DEBUG | 文件路径=logs\llm_batch_analyzer.log
2025-12-02 16:10:14 | DEBUG | llm_batch_analyzer:121 | [流水线初始化] OpenAIClient 初始化成功
2025-12-02 16:10:14 | INFO  | llm_batch_analyzer:200 | [启动] Excel → LLM 批量分析，文件=F:\Scientific-Research\LLM-SLWI\data\systematic_review\raw\merged_and_deduplicated_data.xlsx，批大小=20
2025-12-02 16:10:14 | INFO  | llm_batch_analyzer:218 | [任务准备] 共 979 条文本，将分批分析，每批 20 条。
2025-12-02 16:10:14 | INFO  | llm_batch_analyzer:225 | ========== [批次启动] 批次 001: 0~19 ==========
2025-12-02 16:10:21 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1617，累计 tokens=1617，本次费用=$0.008085，累计费用=$0.008085
2025-12-02 16:10:27 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1580，累计 tokens=3197，本次费用=$0.007900，累计费用=$0.015985
2025-12-02 16:10:32 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1597，累计 tokens=4794，本次费用=$0.007985，累计费用=$0.023970
2025-12-02 16:10:37 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1484，累计 tokens=6278，本次费用=$0.007420，累计费用=$0.031390
2025-12-02 16:10:42 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1396，累计 tokens=7674，本次费用=$0.006980，累计费用=$0.038370
2025-12-02 16:10:46 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1498，累计 tokens=9172，本次费用=$0.007490，累计费用=$0.045860
2025-12-02 16:10:55 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1654，累计 tokens=10826，本次费用=$0.008270，累计费用=$0.054130
2025-12-02 16:11:00 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1446，累计 tokens=12272，本次费用=$0.007230，累计费用=$0.061360
2025-12-02 16:11:04 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1498，累计 tokens=13770，本次费用=$0.007490，累计费用=$0.068850
2025-12-02 16:11:07 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1452，累计 tokens=15222，本次费用=$0.007260，累计费用=$0.076110
2025-12-02 16:11:13 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1529，累计 tokens=16751，本次费用=$0.007645，累计费用=$0.083755
2025-12-02 16:11:23 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1556，累计 tokens=18307，本次费用=$0.007780，累计费用=$0.091535
2025-12-02 16:11:29 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1491，累计 tokens=19798，本次费用=$0.007455，累计费用=$0.098990
2025-12-02 16:11:42 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1555，累计 tokens=21353，本次费用=$0.007775，累计费用=$0.106765
2025-12-02 16:11:47 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1561，累计 tokens=22914，本次费用=$0.007805，累计费用=$0.114570
2025-12-02 16:11:52 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1459，累计 tokens=24373，本次费用=$0.007295，累计费用=$0.121865
2025-12-02 16:11:58 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1438，累计 tokens=25811，本次费用=$0.007190，累计费用=$0.129055
2025-12-02 16:12:02 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1473，累计 tokens=27284，本次费用=$0.007365，累计费用=$0.136420
2025-12-02 16:12:07 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1512，累计 tokens=28796，本次费用=$0.007560，累计费用=$0.143980
2025-12-02 16:12:14 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1373，累计 tokens=30169，本次费用=$0.006865，累计费用=$0.150845
2025-12-02 16:12:14 | INFO  | llm_batch_analyzer:185 | [LLM 调用] 批量分析完成，返回 20 条。
2025-12-02 16:12:14 | INFO  | llm_batch_analyzer:170 | [分批保存] 第 1 批结果已保存为：F:\Scientific-Research\LLM-SLWI\data\systematic_review\llm_results\R2_analysis_batch_001.csv
2025-12-02 16:12:14 | INFO  | llm_batch_analyzer:225 | ========== [批次启动] 批次 002: 20~39 ==========
2025-12-02 16:12:18 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1460，累计 tokens=31629，本次费用=$0.007300，累计费用=$0.158145
2025-12-02 16:12:22 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1467，累计 tokens=33096，本次费用=$0.007335，累计费用=$0.165480
2025-12-02 16:12:28 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1460，累计 tokens=34556，本次费用=$0.007300，累计费用=$0.172780
2025-12-02 16:12:33 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1540，累计 tokens=36096，本次费用=$0.007700，累计费用=$0.180480
2025-12-02 16:12:38 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1480，累计 tokens=37576，本次费用=$0.007400，累计费用=$0.187880
2025-12-02 16:12:43 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1506，累计 tokens=39082，本次费用=$0.007530，累计费用=$0.195410
2025-12-02 16:12:53 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1390，累计 tokens=40472，本次费用=$0.006950，累计费用=$0.202360
2025-12-02 16:12:59 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1566，累计 tokens=42038，本次费用=$0.007830，累计费用=$0.210190
2025-12-02 16:13:07 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1527，累计 tokens=43565，本次费用=$0.007635，累计费用=$0.217825
2025-12-02 16:13:21 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1506，累计 tokens=45071，本次费用=$0.007530，累计费用=$0.225355
2025-12-02 16:13:26 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1484，累计 tokens=46555，本次费用=$0.007420，累计费用=$0.232775
2025-12-02 16:13:31 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1543，累计 tokens=48098，本次费用=$0.007715，累计费用=$0.240490
2025-12-02 16:13:36 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1478，累计 tokens=49576，本次费用=$0.007390，累计费用=$0.247880
2025-12-02 16:13:40 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1528，累计 tokens=51104，本次费用=$0.007640，累计费用=$0.255520
2025-12-02 16:13:45 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1490，累计 tokens=52594，本次费用=$0.007450，累计费用=$0.262970
2025-12-02 16:14:11 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1470，累计 tokens=54064，本次费用=$0.007350，累计费用=$0.270320
2025-12-02 16:14:20 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1502，累计 tokens=55566，本次费用=$0.007510，累计费用=$0.277830
2025-12-02 16:14:25 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1410，累计 tokens=56976，本次费用=$0.007050，累计费用=$0.284880
2025-12-02 16:14:30 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1466，累计 tokens=58442，本次费用=$0.007330，累计费用=$0.292210
2025-12-02 16:14:35 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1493，累计 tokens=59935，本次费用=$0.007465，累计费用=$0.299675
2025-12-02 16:14:35 | INFO  | llm_batch_analyzer:185 | [LLM 调用] 批量分析完成，返回 20 条。
2025-12-02 16:14:35 | INFO  | llm_batch_analyzer:170 | [分批保存] 第 2 批结果已保存为：F:\Scientific-Research\LLM-SLWI\data\systematic_review\llm_results\R2_analysis_batch_002.csv
2025-12-02 16:14:35 | INFO  | llm_batch_analyzer:225 | ========== [批次启动] 批次 003: 40~59 ==========
2025-12-02 16:14:39 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1582，累计 tokens=61517，本次费用=$0.007910，累计费用=$0.307585
2025-12-02 16:14:47 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1516，累计 tokens=63033，本次费用=$0.007580，累计费用=$0.315165
2025-12-02 16:14:51 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1466，累计 tokens=64499，本次费用=$0.007330，累计费用=$0.322495
2025-12-02 16:14:55 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1501，累计 tokens=66000，本次费用=$0.007505，累计费用=$0.330000
2025-12-02 16:15:00 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1445，累计 tokens=67445，本次费用=$0.007225，累计费用=$0.337225
2025-12-02 16:15:05 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1484，累计 tokens=68929，本次费用=$0.007420，累计费用=$0.344645
2025-12-02 16:15:10 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1417，累计 tokens=70346，本次费用=$0.007085，累计费用=$0.351730
2025-12-02 16:15:16 | DEBUG | llm_batch_analyzer:369 | 模型='gpt-5.1' 本次使用 tokens=1441，累计 tokens=71787，本次费用=$0.007205，累计费用=$0.358935
