2025-12-02 16:00:53 | DEBUG | llm_batch_merger:96 | 日志系统初始化完成 | name=llm_batch_merger | 控制台级别=DEBUG | 文件路径=logs\llm_batch_merger.log
2025-12-02 16:00:53 | INFO  | llm_batch_merger:189 | [启动] LLM 批次结果合并任务，目录=F:\Scientific-Research\LLM-SLWI\data\systematic_review\llm_results
2025-12-02 16:00:53 | INFO  | llm_batch_merger:93 | [扫描结果] 在 F:\Scientific-Research\LLM-SLWI\data\systematic_review\llm_results 下发现 49 个批次文件。
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_001.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_002.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_003.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_004.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_005.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_006.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_007.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_008.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_009.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_010.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_011.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_012.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_013.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_014.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_015.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_016.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_017.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_018.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_019.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_020.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_021.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_022.csv
2025-12-02 16:00:53 | DEBUG | llm_batch_merger:95 |   - llm_analysis_batch_023.csv
