Title,Year,Decision,Notes
Integrating Automated Writing Evaluation into Saudi Efl Students’ Writing Practice,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 154 Arabic-speaking undergraduate EFL students at a Saudi university, clearly L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The intervention uses generic 'AWE systems' (Automated Writing Evaluation). There is no indication these are LLM-based tools such as ChatGPT/GPT-4 or other transformer-based generative models; AWE typically refers to scoring/feedback systems like e-rater or Criterion, which are not LLM interventions as defined in the review.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The focus is on integrating AWE into EFL writing practice and its effects on writing skills, critical thinking, autonomy, and motivation to write in English\u2014clearly a writing-focused pedagogical context.""}, ""c4"": {""status"": ""unclear"", ""evidence"": ""The abstract mentions collecting 'samples of EFL writing assignments before and after utilising the AWE system' and claims effectiveness in enhancing lower-level writing skills, but it does not explicitly state that quantifiable writing outcome metrics were analyzed; emphasis is on experiences, evaluations, challenges, satisfaction.""}}"
The Impact of Ai-generated Feedback Explicitness (generic Vs. Specific) on Efl Students' Use of Automated Written Corrective Feedback,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are EFL university students in Saudi Arabia (Arab schools and universities), clearly L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The intervention is described as AI-driven Automated Written Corrective Feedback and Automated Essay Scoring systems/AWE systems. There is no indication that these tools are LLM-based (e.g., ChatGPT, GPT-4); they are framed as generic AWE/AES systems, which are typically not transformer-based generative models.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The focus is on EFL writing, corrective feedback, and writing proficiency in L2 writing instruction, which aligns with writing-related variables.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Although the main research question mentions writing proficiency, the abstract reports only perceptions (ease of use, clarity, usefulness, preferences for specific vs. generic feedback). The analysis centers on perceptions via questionnaires and factor analysis; no explicit quantifiable writing outcome measures (e.g., changes in writing scores, accuracy) are reported.""}}"
Saudi Efl Learners’ Perceptions of Using Artificial Intelligence and Its Impact on Their Writing Skills,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are female Saudi learners of English as a Foreign Language at the University of Jeddah, clearly an EFL context with English as the target language.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although ChatGPT and other AI tools are mentioned, the abstract frames the study as examining learners\u2019 perceptions and experiences, not as an experimental or quasi-experimental intervention integrating LLMs into instruction. No controlled or structured LLM-based instructional treatment is described.""}, ""c3"": {""status"": ""unclear"", ""evidence"": ""The focus is broadly on writing skills and writing development, but the study centers on perceptions and experiences rather than a defined pedagogical writing intervention. It is not clear that there is a specific instructional design around writing competence being tested.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports attitudes, perceived benefits, and drawbacks, but does not mention any quantifiable writing outcome measures (e.g., pre/post writing scores, rubric-based assessments). The impact on writing competency is discussed in terms of perceptions, not measured outcomes.""}}"
Evaluating the Quality of Ai Feedback: a Comparative Study of Ai and Human Essay Grading,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are EFL students: \u201c30 essays written by English as a foreign language (EFL) students,\u201d so the population is L2 English learners.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""AI tools are used as essay graders/feedback providers and compared to human evaluators. There is no indication of an experimental or quasi-experimental pedagogical intervention integrating LLMs into instruction or writing processes; the focus is on evaluation quality.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on the quality and comparability of AI vs. human essay grading and feedback, not on improving writing competence through an instructional intervention. This aligns with automated essay scoring research rather than a writing intervention context.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study does not report changes in learners\u2019 writing performance or other outcome measures following an AI-mediated intervention. It only analyzes AI vs. human scoring and feedback on existing essays, with no pre/post or comparative learning outcomes.""}}"
The Integration of Chatgpt in English for Foreign Language Course: Elevating Ai Writing Assistant Acceptance,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 95 English as a Foreign Language (EFL) students in Indonesia, clearly L2 English learners in an EFL context.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The study integrates ChatGPT, an LLM, into students\u2019 writing process over a four-week assignment, constituting an LLM-based writing aid intervention.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on technology acceptance (perceived ease of use, usefulness, attitude toward change, behavioral intention) using the Technology Acceptance Model, not on writing competence or writing-related performance variables.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""No quantifiable writing outcome metrics (e.g., writing scores, quality measures, accuracy, complexity) are reported. Outcomes are limited to acceptance and behavioral intention constructs, not writing performance.""}}"
Investigating Students’ Uptake of Teacher- and Chatgpt-generated Feedback in Efl Writing: a Comparison Study,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are twenty Chinese undergraduate EFL students writing argumentative essays in English, clearly fitting an EFL/ESL L2 English learner population.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""ChatGPT is used as a feedback provider, but the design is a comparison of teacher- vs ChatGPT-generated feedback uptake, not an experimental or quasi-experimental LLM-mediated instructional intervention aimed at improving writing performance (e.g., no pre/post or controlled treatment vs control conditions).""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The focus is on EFL argumentative writing, specifically on how students use feedback from teachers and ChatGPT in revising their essays, which is directly related to writing competence and writing processes.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Outcomes reported are engagement with feedback, appropriateness of revisions, and questionnaire-based perceptions and preferences. There is no indication of quantifiable writing outcome metrics (e.g., overall writing quality scores, rubric-based gains) assessing the effectiveness of an LLM-mediated intervention over time.""}}"
"Beyond Policing: Ai Writing Detection Tools, Trust, Academic Integrity, and Their Implications for College Writing",2025,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract mentions bias against non-native English speakers and focuses on college writing, but it does not specify that the participants are L2 English learners in ESL/EFL/ELL contexts, nor that data are specifically about L2 English learners.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The article discusses AI writing detection tools, trust, and academic integrity, and argues for collaborative AI integration in writing. However, it does not describe an experimental or quasi-experimental study using a specific LLM (e.g., ChatGPT, GPT-4) as an instructional intervention; it appears to be conceptual/perspective-based.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""While the context is college writing and AI, the focus is on detection tools, institutional guidelines, and academic integrity rather than a concrete pedagogical intervention targeting writing competence or writing-related variables using LLMs.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""No quantifiable writing outcome metrics or experimental results are reported. The abstract discusses implications, frameworks, and recommendations, but not measured changes in writing performance following an LLM-mediated intervention.""}}"
Unpacking the Rejection of L2 Students Toward Chatgpt-generated Feedback: an Explanatory Research,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are L2 learners (L2 students in a university Computer Science program) working on an argumentative writing report in an AI-assisted educational environment, indicating an L2 English writing context.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The study involves students being encouraged to seek corrective feedback from ChatGPT, a large language model, on their argumentative writing report. This constitutes an LLM-based writing-related intervention, even though it is not strictly experimental in the sense of comparing conditions.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on learners\u2019 challenges and rejection of ChatGPT-generated feedback (technology acceptance and use), not on improving writing competence or systematically evaluating writing performance. Outcomes center on feedback acceptance/rejection and reasons, rather than writing development.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Although the study reports quantitative data (e.g., 45.9% of AI-generated feedback rejected), it does not report quantifiable writing outcome metrics (e.g., changes in writing quality, accuracy, complexity). The measures relate to feedback uptake and perceptions, not to writing performance gains.""}}"
Collaborative Writing Based on Generative Ai Models: Revision and Deliberation Processes in German as a Foreign Language,2025,exclude,"{""c1"": {""status"": ""fail"", ""evidence"": ""The population consists of learners of German as a foreign language. The title and abstract explicitly state the context is German as a Foreign Language, not English (ESL/EFL/ELL). Therefore, it does not meet the requirement that the target language be English.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The study integrates generative AI models (e.g., ChatGPT) into a classroom-based collaborative writing intervention, where students compare their own writing with GenAI models. This constitutes an LLM-based writing intervention.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The focus is on L2 writing and revision processes in collaborative writing, including how GenAI influences revision and deliberation, clearly centering on writing competence and writing-related variables rather than automated scoring.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The study reports changes in text quality and evaluates texts for functional adequacy, which are quantifiable writing outcome metrics linked to the GenAI-mediated intervention.""}}"
Exploring Chatgpt as a Tool for Thesis Writing: Perspectives of Efl Supervisors in Jordanian Universities,2025,exclude,"{""c1"": {""status"": ""fail"", ""evidence"": ""The participants are 47 Jordanian EFL supervisors, not L2 English learners. The study reports supervisors\u2019 perceptions of ChatGPT\u2019s use in students\u2019 thesis writing, but the data are not collected from learners themselves, nor are learner outcomes directly measured.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although ChatGPT (an LLM) is the focal tool, the study is not an experimental or quasi-experimental intervention integrating ChatGPT into writing instruction. It is a perception study using a questionnaire to gauge supervisors\u2019 views, without a structured LLM-mediated instructional treatment.""}, ""c3"": {""status"": ""unclear"", ""evidence"": ""The context is thesis writing in EFL, which is writing-focused, but the study centers on supervisors\u2019 opinions about ChatGPT\u2019s usefulness rather than on an implemented pedagogical intervention or writing process design. The abstract does not describe an actual instructional context where ChatGPT is systematically integrated.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study quantifies supervisors\u2019 perceptions (Likert-scale responses) about ChatGPT\u2019s effects, not students\u2019 writing performance. No quantifiable learner writing outcome metrics (e.g., scores, text quality measures, revisions) are reported to assess the effectiveness of an LLM-mediated writing intervention.""}}"
