No.,Title,Year,Decision,Notes
1,Same Assignment-two Different Feedback Contexts: Lower Secondary Students' Experiences with Feedback during a Three Draft Writing Process,2025,exclude,"{
    ""c1"": {
        ""status"": ""unclear"",
        ""evidence"": ""Participants are described as lower secondary students in English as a foreign language (EFL) classes, which suggests they are L2 English learners. However, the abstract does not explicitly state their L1 or confirm that English is a second/foreign language for all participants, though this is strongly implied by the EFL context.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The study contrasts AI-generated feedback with peer feedback in an EFL writing process, but the abstract does not specify what AI system is used, nor whether it is a large language model (e.g., ChatGPT, GPT-4). It could be a non-LLM feedback tool. Without explicit mention of an LLM-based system, it is unclear whether the intervention meets the LLM criterion.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The context is a three-draft writing process in EFL classes, focusing on feedback during writing and students’ engagement with AI-generated vs. peer feedback. The primary focus is clearly on writing processes and feedback in writing, not on automated scoring or non-pedagogical evaluation.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The abstract emphasizes students’ conceptions, experiences, dialogic interactions, and feedback literacy, investigated via observations and interviews with thematic analysis. There is no indication of quantitative or otherwise explicit writing outcome measures (e.g., writing scores, quality ratings, accuracy gains) comparing the two feedback contexts. Outcomes are qualitative and process-oriented rather than quantifiable writing performance metrics.""
    }
}"
2,Efl Learners' Perceptual Perezhivaniya and Actual Writing Revision Behaviors Mediated by Genai: a Sociocultural Theory Perspective,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are nineteen EFL learners at a university in Southern China, clearly indicating L2 English learners in an EFL context.""
    },
    ""c2"": {
        ""status"": ""unclear"",
        ""evidence"": ""The abstract states that learners revised L2 continuation writing tasks \""using GenAI\"" but does not specify that the GenAI tool is an LLM (e.g., ChatGPT, GPT-4) or provide its technical nature. It could be any generative AI, not necessarily an LLM-based system.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The focus is explicitly on L2 writing revision processes (word choice, content, discourse, syntax, errors, alignment, typographic elements) mediated by GenAI, which is central to writing competence and writing-related behaviors.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The study uses interviews, Q-methodology, and Translog screen recordings to explore revision processes and the alignment between perceived experiences and actual revision behaviors. The abstract does not report any quantifiable writing outcome metrics (e.g., writing quality scores, accuracy gains) assessing the effectiveness of the GenAI-mediated intervention; it focuses on process and perceptions rather than outcome measures.""
    }
}"
3,Students' Perceptions of Generative Artificial Intelligence (genai) Use in Academic Writing in English as a Foreign Language,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are 56 undergraduate university students in Ecuador engaged in academic writing in English as a foreign language (EFL), clearly an L2 English learner population in an EFL context.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""The study investigates students’ perceptions of GenAI/ChatGPT use and academic integrity. There is no indication of an experimental or quasi-experimental design integrating LLMs into writing instruction or structured writing processes; it is a perception/survey study.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""Although the context is academic writing, the primary focus is on perceptions of academic integrity, cheating, and AI-giarism, not on a pedagogical writing intervention or instructional use of LLMs to develop writing competence.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The abstract reports attitudinal and perception data (worries about skill development, views on dishonesty, beliefs about detectability). It does not report any quantifiable writing outcome metrics or effectiveness of an LLM-mediated writing intervention.""
    }
}"
4,Chatbots or Cheatbots? University Students' Uses of Ai Literacy Tools across Four Nations,2025,exclude,"{
    ""c1"": {
        ""status"": ""unclear"",
        ""evidence"": ""Participants are undergraduate and graduate students in English-medium programs across four nations, but the abstract does not specify that they are L2 English learners; some may be L1 English users (e.g., in the United States). The focus is on English-medium instruction, not explicitly on L2 English learners.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""Although students use LLMs such as ChatGPT, the study is a cross-case analysis of first-person accounts, not an experimental or quasi-experimental intervention integrating LLMs into writing instruction. There is no structured pedagogical treatment or controlled use of LLMs as an intervention.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The focus is on how students use LLMs to support reading, writing, and learning, and on perceived opportunities and challenges, rather than on a designed writing competence intervention. It is more about usage patterns and ethical considerations than a writing-focused instructional context with measured outcomes.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The study reports qualitative accounts of uses, opportunities, and challenges. It does not mention any quantifiable writing outcome metrics or experimental measures of writing performance resulting from LLM use.""
    }
}"
5,"A Comparative Study of the Human, Automated Scoring Model, and Gpt-4 Ratings of Young Efl Students' Writing",2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are described as 'young English as a foreign language learners,' clearly indicating L2 English learners in an EFL context.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""GPT-4 is used as an automated writing evaluation (AWE) scoring model, not as part of an instructional or intervention design to support learners’ writing processes or instruction.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The focus is on comparing GPT-4 scoring performance with human raters and an operational AWE model on TOEFL Junior Writing tasks. This is an assessment/measurement study, not a pedagogical writing intervention.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""No quantifiable writing outcome metrics for learners are reported; the outcomes are psychometric/accuracy measures of scoring models relative to human ratings, not changes in learners’ writing performance following an LLM-mediated intervention.""
    }
}"
6,Efl Learners' Motivation and Acceptance of Using Large Language Models in English Academic Writing: an Extension of the Utaut Model,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are EFL learners engaged in business-related English academic writing, clearly indicating L2 English learners in an EFL context.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""Although participants had completed a semester of training in using LLMs for English academic writing, the study itself does not describe or test an experimental or quasi-experimental LLM-based writing intervention. It focuses on technology acceptance and motivation after prior exposure, not on implementing and evaluating a specific LLM-mediated instructional treatment.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The primary focus is on motivation and acceptance (UTAUT, L2 Motivational Self System) regarding LLM use, not on writing competence or writing-related performance variables. Writing is the context, but not the measured outcome domain.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""No quantifiable writing outcome metrics (e.g., writing scores, quality ratings, accuracy, complexity) are reported. The outcomes are motivational and acceptance constructs, not writing performance, so the effectiveness of LLM-mediated writing intervention is not assessed.""
    }
}"
7,Edcew-llm: Error Detection and Correction in English Writing: a Large Language Model-based Approach,2025,exclude,"{
    ""c1"": {
        ""status"": ""unclear"",
        ""evidence"": ""The abstract refers to “error profiles of English language learners across CEFR proficiency levels (A, B, and C)” but does not specify whether these are actual L2 learner participants in an instructional context or simply learner corpora used for model training/evaluation. No ESL/EFL/ELL educational setting or participant group is described.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""The study develops and benchmarks an LLM-based error detection and correction pipeline (fine-tuned LLM plus GPT‑3.5 explanations) as a WEDC tool. It is a system/methods paper evaluating model performance (F1 scores, benchmarks), not an experimental or quasi-experimental pedagogical intervention integrating LLMs into writing instruction with learners.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The primary focus is on automated error detection/correction performance and generation of explanations, framed as improving GEC tools. There is no described instructional context, classroom implementation, or writing pedagogy intervention; it is essentially an NLP system evaluation rather than a study of writing competence development.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""Outcomes reported are model-centric (F1 scores on BEA-2019, JFLEG, multilingual datasets; human evaluation of correction quality and explanations). There are no quantifiable learner writing outcomes (e.g., pre/post writing scores, accuracy gains) from an LLM-mediated intervention with L2 writers.""
    }
}"
8,Investigating Efl Students' Perceptions of Feedback: a Comparative Study of Instructor and Chatgpt-generated Responses in Academic Writing,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are Saudi English as a Foreign Language (EFL) learners enrolled in an advanced writing course, clearly fitting the L2 English learner population in an EFL context.""
    },
    ""c2"": {
        ""status"": ""pass"",
        ""evidence"": ""The study compares instructor feedback with ChatGPT-generated feedback on students’ writing assignments, integrating an LLM (ChatGPT) into the writing feedback process within a course, which qualifies as an LLM-based intervention component.""
    },
    ""c3"": {
        ""status"": ""pass"",
        ""evidence"": ""The context is academic writing; feedback (from instructor and ChatGPT) is provided on writing assignments with the stated aim of developing writing skills, so the primary focus is on writing competence and writing-related variables.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""The abstract reports only students’ perceptions and preferences via a survey (e.g., instructor feedback perceived as more useful, ChatGPT feedback as immediate and accessible). It does not mention any quantitative writing outcome measures (e.g., changes in writing scores, quality, accuracy) to assess the effectiveness of the LLM-mediated intervention.""
    }
}"
9,Large Language Models Fall Short in Classifying Learners' Open-ended Responses,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are 143 Japanese university students studying English as a foreign language (EFL), which fits the L2 English learner population in an EFL context.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""LLMs are used to classify learners’ open-ended survey responses about their essay-writing process, not as part of an instructional or experimental writing intervention. The focus is methodological (classification accuracy), not integrating LLMs into writing instruction or processes for learning.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The primary focus is on LLMs as tools for qualitative data analysis (classifying self-regulated learning processes) rather than on improving writing competence or writing-related pedagogical interventions. It is not a writing instruction or intervention study.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""No quantifiable writing outcome metrics are reported. Outcomes concern agreement (Cohen’s kappa) between LLMs and human coders on classification tasks, not changes in learners’ writing performance or related measurable writing outcomes.""
    }
}"
10,A Linguistic Comparison between Chatgpt-generated and Nonnative Student-generated Short Story Adaptations: a Stylometric Approach,2025,exclude,"{
    ""c1"": {
        ""status"": ""pass"",
        ""evidence"": ""Participants are described as “nonnative ESL students in an Egyptian university,” so the population is L2 English learners in an ESL/EFL context.""
    },
    ""c2"": {
        ""status"": ""fail"",
        ""evidence"": ""ChatGPT is used only to generate comparison texts; there is no experimental or quasi-experimental instructional intervention integrating the LLM into students’ writing instruction or processes.""
    },
    ""c3"": {
        ""status"": ""fail"",
        ""evidence"": ""The focus is on stylometric comparison and authorship attribution (distinguishing AI- vs human-generated texts), not on improving writing competence through a pedagogical intervention.""
    },
    ""c4"": {
        ""status"": ""fail"",
        ""evidence"": ""No writing outcome measures assessing the effectiveness of an LLM-mediated writing intervention are reported; the study analyzes existing texts rather than evaluating changes in learners’ writing performance.""
    }
}"
